Agency Name,City,Address Line 1,MATCH_BY_CITY,MATCH_BY_ADDRESS,MATCH_BY_NAME_ONLY
CONSORTIA AEROSPACE GROUP INC,GAINESVILLE,4505 NE 40TH TERRACE,NO,,
CONSTANT AVIATION LLC,SANFORD,100 CONSTANT COURT,NO,,
CONSTANT AVIATION LLC,CLEVELAND,CLEVELAND HOPKINS INTERNATIONAL AIR,NO,,
CONSTRUCTION HELICOPTERS INC,HOWELL,3679 BOWEN RD,NO,,
CONTACT AVIATION LLC,WATERFORD,1675 AIRPORT RD.,NO,,
CONTINENTAL AEROSPACE TECHNOLOGIES GMBH,ST. EGIDIEN,PLATANENSTR. 14,NO,,
CONTINENTAL AEROSPACE TECHNOLOGIES INC,FAIRHOPE,8600 COUNTY ROAD 32,NO,,
CONTINENTAL AIRCRAFT SUPPORT INC,MIAMI LAKES,13960 NW 60TH AVENUE,NO,,
CONWAY AIRCRAFT MAINTENANCE SERVICES LLC,CONWAY,3250 SAND GAP ROAD,NO,,
CONYAN AVIATION INC,BOISE,3673 RICKENBACKER STREET,NO,,
COOPERATIVA AUTOGESTIONARIA DE SERVICIOS AEROINDUS,ALAJUELA,300 METROS OESTE JUAN SANTAMARIA IN,NO,,
COPA AIRLINES,PANAMA CITY,TOCUMEN INTERNATIONAL AIRPORT,NO,,
COPPER STATE TURBINE ENGINE COMPANY,SCOTTSDALE,7879 E. BECK LANE,NO,,
CORE PARTS LLC,MESA,4836 E. INDIGO STREET,NO,,
CORNERSTONE AVIATION LLC,LONEDELL,3144 HUFF RD,NO,,
CORNING Inc,HORSEHEADS,348 SING SING RD,NO,,
CORONA AIRCRAFT ENGINES INC,CORONA,1965A AVIATION DRIVE,NO,,
CORPAIR SUPPLY CO INC,O'FALLON,827 TEXAS COURT,NO,,
CORPJET AVIATION LLC,SAN ANTONIO,9023 WETMORE ROAD,NO,,
CORPORACION DE LA INDUSTRIA AERONAUTICA COLOMBIANA,BOGOTA D.C.,AV. CALLE 26 N. 103 - 08 ENTRADA 1,NO,,
CORPORATE AIR CENTER LLC,BURLINGTON,15452 AIRPORT DRIVE,YES,,
CORPORATE AIR PARTS INC,VAN NUYS,7641 DENSMORE AVE.,NO,,
CORPORATE AIR PARTS INC,BUDA,1629 ROBERT S LIGHT BLVD,NO,,
CORPORATE AVIATION ASSOC INC,SAN JOSE,1250 AVIATION AVENUE,NO,,
CORPORATE FLIGHT MANAGEMENT INC,SMYRNA,693 FITZHUGH BLVD,NO,,
CORPORATE JET SUPPORT LLC,TETERBORO,100 NORTH STREET,NO,,
CORR AVIATION INC,LOUISVILLE,"674 AIRPORT AVE., HANGAR G",NO,,
CORRY MANUFACTURING COMPANY,CORRY,519 W. MAIN STREET,NO,,
COSGROVE AIRCRAFT SERVICE INC,TETERBORO,90 MOONACHIE AVENUE,NO,,
COSGROVE AIRCRAFT SERVICES INC,WHITE PLAINS,"6 LOOP ROAD, BUILDING #2",NO,,YES
COULSON AVIATION (USA) INC,THERMAL,56850 HIGGINS DR.,NO,,
COUNTY HEAT TREAT LLC,MILLBURY,32 HOWE  AVENUE,NO,,
COUNTY OF LOS ANGELES FIRE AIR OPERATIONS,PACOIMA,12605 OSBORNE STREET,NO,,
COURTNEY AVIATION INC,COLUMBIA,10000 TECHNOLOGY DRIVE,NO,,
COVINGTON AIRCRAFT ENGINES INC,OKMULGEE,HIGHWAY 75 NORTH AND AIRPORT ROAD,NO,,
COWAY ENGINEERING & MARKETING PTE LTD,SINGAPORE,9A SELETAR AEROSPACE LINK,NO,,
COX AIRPARTS LLC,MAIZE,5460 N. LARSON ROAD,NO,,
COX AND COMPANY INC,PLAINVIEW,1664 OLD COUNTRY ROAD,NO,,
CRAIGMILE AVIATION LLC,MONROE,236 FAN HILL ROAD,NO,,
CRANKCASE SERVICES INC,SAND SPRINGS,14700 WEST SHELL CREEK ROAD,NO,,
CRAVENS LARRY LEE,COTTONWOOD,"343 EAST CHERRY STREET, UNIT 6",NO,,
CREST AVIATION LLC,PALMER,801 E. EVERGREEN AVE,NO,,
CRISSAIR INC,VALENCIA,28909 AVENUE WILLIAMS,NO,,
CRMA,ELANCOURT,14 AVENUE GAY-LUSSAC,NO,,
CROMAN CORP,WHITE CITY,801 AVENUE C,NO,,
CROSS CITY AVIATION SERVICES INC,ARCHER,3302 SW 154TH STREET,NO,,
CROSS-CHECK AVIATION,RENO,9565 PROTOTYPE COURT,NO,,
CROUZET,PONT DE L'ISERE,400 CHEMIN DES MOLLES,NO,,
CROUZET NORTH AMERICA INC,ALLEN,716 S GREENVILLE AVE #190,NO,,
CROWN AVIATION LLC,EVERETT,10300 28TH AVENUE WEST,NO,,
CRS AEROTECHNICS LTD,WATERFORD,"UNIT 18 WESTSIDE BUSINESS PARK, OLD",NO,,
CRS TECHNICS LIMITED,SAFFRON WALDEN,"SAFFRON HOUSE LOWER LEVEL, BEARWALD",NO,,
CRUCIAL AERO LLC,GEORGETOWN,860J AVIATION BLVD,NO,,
CRUCIAL MRO LLC,MURPHYSBORO,296 N. AIRPORT ROAD,NO,,
CRUISEAIR AVIATION INC,RAMONA,2428 MONTECITO ROAD,NO,,
CRYSTAL AERO SOLUTIONS,ROISSY EN FRANCE,"4, RUE DU MEUNIER",NO,,
CRYSTAL AVIONICS LLC,NEW  BRAUNFELS,1746 ENTRANCE DRIVE,NO,YES,
CSA-CENTRO DE SERVICIOS AERONAUTICOS LTDA,GOIANIA,"AVE. PERIMETRAL NORTE, QUADRA HC1,",NO,,
CSAFE GLOBAL CO PERATIEF UA KOREA BRANCH,"JUNG-GU, INCHEON",CIC LOGISTICS CENTER,NO,,
CSAFE LLC,MONROE,675 GATEWAY BLVD,NO,,
,GARDENA,17230 SOUTH MAIN STREET,NO,,
,AVENEL,2323 RANDOLPH AVE,NO,,
,CAROLINA,"CALLE CAMPECHE, LOT 1",NO,,
,DES PLAINES,"190 EAST TOUHY AVENUE, SUITE 102",NO,,
CSE BOURNEMOUTH LIMITED,CHRISTCHURCH,"HANGER 100, BOURNEMOUTH INTERNATION",NO,,
CSI AEROSPACE INC,BROKEN ARROW,2020 WEST DETROIT STREET,NO,,
CTC SERVICES INC,LINCOLN,3144 VENTURE DRIVE,NO,,
CTL AEROSPACE INC,CINCINNATI,9970 INTERNATIONAL BLVD.,NO,,
CTT SYSTEMS AB,NYKOPING,BRUKSLAGARVAGEN 5,NO,,
CUBCRAFTERS AVIONICS LLC,YAKIMA,1920 SOUTH 16TH AVENUE,YES,,
CUPERY CORPORATION,TORRANCE,2207 BORDER AVENUE,NO,,
CURTIS AIR,PITTSFIELD,176 HARRISON STREET,YES,,
CURTISS-WRIGHT,SHELBY,201 OLD BOILING SPRINGS ROAD,NO,,
CURTISS-WRIGHT CONTROLS INTEGRATED SENSING INC,TEMPE,1100 W. GROVE PARKWAY,NO,,
CURTISS-WRIGHT DS INC,SANTA CLARITA,28965 AVENUE PENN,NO,,
CUSTOM AIRCRAFT CABINETS INC,NORTH LITTLE ROCK,5510 LANDERS ROAD,NO,,
CUSTOM AIRCRAFT INC,PALMER,821 E AIRCRAFT RD.,NO,,
CUSTOM AIRCRAFT INTERIORS INC,LAKEWOOD,3701 INDUSTRY AVENUE,NO,,
CUSTOM AIRCRAFT REFINISHING INC,CASSELTON,18 CASSELTON AIRPORT ROAD,NO,,
CUTTER AVIATION DALLAS Inc,ADDISON,4500 CLAIRE CHENNAULT RD.,NO,,
CUTTER AVIATION DENVER CO-APA,ENGLEWOOD,12260 EAST CONTROL TOWER ROAD,NO,,
CUTTER AVIATION PHOENIX INC,PHOENIX,2802 OLD TOWER ROAD,NO,,
CUTTER AVIATION SAN ANTONIO INC,SAN ANTONIO,10440 JOHN CAPE ROAD,NO,,
CUTTING EDGE AVIONICS,SAN ANDREAS,3600 CAROL KENEDY RD,YES,,
CV-580 LLC,BROWNSVILLE,2045 LES MAULDIN RD,NO,,
CVG AEROSPACE LLC,MIAMI,13500 SW 134TH AVE,NO,,
CZECH AIRLINES TECHNICS AS,PRAGUE,CZECH AIRLINES TECHNICS A.S.,NO,,
D & G SUPPLY,NILES,1916 INDUSTRIAL DRIVE,NO,,
D & J AVIATION INC,COLORADO SPRINGS,1945 AVIATION WAY,NO,,
D AND B AIRCRAFT ENGINES,BETHANY,"5508 N ROCKWELL,  UNIT B",NO,,
D AND D BALLOONING,PRESCOTT,2195 LYNXWOOD DR,NO,,
D B MODS LLC,CREVE COEUR,"3127 CREVE COEUR ROAD, HANGAR P-5",NO,,
D H HELICOPTER INC,MASCOUTAH,9405 AIRPORT BLVD,NO,,
D-J ENGINEERING INC,AUGUSTA,1002 INDUSTRIAL,NO,,
D-N-A BALLOON REPAIR STATION,VICTORVILLE,14210 CHOLAME ROAD,NO,,
D ELSWORTH INC,MONROVIA,1820 ENTERPRISE WAY,NO,,
D&P TESTING INC,MANASSAS,10601 OBSERVATION ROAD,NO,,YES
,FORT WASHINGTON,10300 GLEN WAY,NO,,
DAE AVIATION ENTERPRISES CORP,GILFORD,61 RECYCLE WAY,NO,,
DAH CHONG HONG - DRAGONAIR AIRPORT GSE SERVICE LIM,LANTAU,13 CATERING ROAD EAST,NO,,
DAHER AIRCRAFT INC,POMPANO BEACH,POMPANO AIRPARK,NO,,
DAHER INDUSTRIAL SERVICES,LANNE,Z.I. PYRÈNE AÉROPÔLE,NO,,
DAKOTA CUB AIRCRAFT INC,VALLEY SPRINGS,48473 262ND ST.,NO,,
DALIMAR CORPORATION,PINELLAS PARK,6295 42ND STREET NORTH,NO,,
DALLAS AERONAUTICAL SERVICES LLC,CEDAR HILL,1456 EDGEFIELD WAY,NO,,
DAN MCNEELY LLC,LONGVIEW,269 TOWER RD,NO,,
DANIEL'S AVIONICS LLC,BURNET,2302 SOUTH WATER STREET,NO,,
DAO AVIATION A/S,ROSKILDE,HANGARVEJ H1,NO,,YES
DAPORT CORPORATION,DORAL,7758 NW 53 STREET,NO,,
DARKHORSE MAINTENANCE LLC,SPRINGFIELD,4430 AIRPORT RD.,NO,,
DARRELL D DAY,ROCK ISLAND,8217 9TH STREET WEST,NO,,
DARRELL R KROEGER,LANCASTER,DARRELL R. KROEGER,NO,,
DAS NORDISK PHOENIX AVIATION EQUIPMENT LTD,BEIJING,DAS NORDISK PHOENIX AVIATION EQUIPM,NO,,
DASSAULT AVIATION,ARGONAY,2105 AVENUE MARCEL DASSAULT,NO,,
DASSAULT AVIATION BUSINESS SERVICES SA,GENEVA,CHEMIN DES PAPILLONS 20,NO,,
DASSAULT FALCON JET CORP,MELBOURNE,84 N. APOLLO ROAD,NO,,
DASSAULT FALCON JET CORP,TETERBORO,"112 CHARLES A. LINDBERG DRIVE, BUIL",NO,,
,RENO,365 SOUTH ROCK BLVD.,NO,,
,CHESTERFIELD,SPIRIT OF ST. LOUIS AIRPORT,NO,,
,TETERBORO,200 FRED WEHRAN DRIVE,NO,,
DASSAULT FALCON JET CORPORATION,LITTLE ROCK,3801 EAST 10TH STREET,NO,,
DASSAULT FALCON JET CORPORATION SERVICE CENTER,LITTLE ROCK,3801 EAST 10TH STREET,NO,,
DASSAULT FALCON JET DO BRASIL LTDA,SAO ROQUE,RODOVIA PRESIDENTE CASTELO BRANCO K,NO,,
DASSAULT FALCON SERVICE,LE BOURGET,AEROPORT DU BOURGET CS 70003,NO,,
DAVCOR AVIATION SERVICES INC,SAN ANTONIO,6222 KREMPEN AVE,NO,,
DAVE'S AVIONICS,MCMINNVILLE,4040 CIRRUS AVENUE,NO,,
DAVID R SALAZ,ELDON,AIRPORT ROAD,NO,,
DAVINCI JETS SERVICES LLC,CHARLOTTE,5400 AIRPORT DRIVE,NO,,
DAVIS AIRCRAFT PRODUCTS COMPANY INC,BOHEMIA,1150 WALNUT AVE.,NO,,
DAVIS FIELD AVIATION LLC,MUSKOGEE,1200 SABRE STREET,YES,,
DAVTRON INC,REDWOOD CITY,427 HILLCREST WAY,NO,,
DAYTON-GRANGER INC,FORT LAUDERDALE,3299 S.W. 9TH AVENUE,NO,,
DAYTONA AIRCRAFT SERVICES INC,DAYTONA BEACH,561 PEARL HARBOR DRIVE,YES,,
DC AVIATION GMBH,STUTTGART,FLUGHAFEN STUTTGART 1,NO,,
DC JET SERVICES,STERLING,23950 WINDSOCK DR.,NO,,
DCI AEROTECH DIVISION OF DETROIT CHROME INC,DETROIT,7515 LYNDON AVE,NO,,
DCM AIR,CANTON,49460 HANFORD RD,NO,,
DCT AIRCRAFT LLC,WATERFORD,6230 NORTH SERVICE DRIVE,NO,,
DEAN BALDWIN PAINTING LP,PERU,1395,NO,,
,MACON,2021 AVONDALE MILL RD.,NO,,
DEAN BALDWIN PAINTING LIMITED PARTNERSHIP,ROSWELL,82 WEST EARL CUMMINGS LOOP,NO,,
DEASON AIRCRAFT SERVICES INC,PAOLA,32650 AIRPORT ROAD,NO,,
DEEP SOUTH AEROSPACE LLC,ENID,2617 N JEFFERSON STREET,NO,,
DEER HORN AVIATION LTD COMPANY,MIDLAND,9611 WRIGHT DRIVE,NO,,
DEER JET (BEJING) CO LTD,BEIJING,"DEER JET (BEIJING( CO., LTD.",NO,,
DEERE & COMPANY AVIATION DEPARTMENT,MILAN,QUAD CITY AIRPORT,NO,,
DEL RIO AVIATION INC,PASO ROBLES,5062 WING WAY,NO,,
DEL'AIR AERO LLC,DORAL,2517 NW 74 AVENUE,NO,,
DELAWARE AVIATION LLC,SIDNEY,199 RIVER STREET,NO,,
DELTA AIR LINES INC,MINNEAPOLIS,7500 AIRLINE DRIVE,NO,,
,ATLANTA,1775 M H JACKSON SERVICE ROAD,NO,,
DELTA ENGINEERING,PALM COAST,150 AVIATION DRIVE,NO,,
DELTA FLIGHT PRODUCTS LLC,ATLANTA,3980 TRADEPORT BLVD.,NO,,
DELTA FOX AVIATION LLC,"MANASSAS,",10771 JAMES PAYNE COURT,NO,,
DELTA GROUP ELECTRONICS INC,SAN DIEGO,10180 SCRIPPS RANCH BLVD.,NO,,
DELTAIR AEROSPACE LIMITED,WATERLOOVILLE,17 ASTON ROAD,NO,,
DEMGY EIS GMBH,EUSKIRCHEN,31 KOLUMBUSSTRASSE,NO,,
DENMEN INTERNATIONAL TRADE INC,ROYSE CITY,1410 INDUSTRIAL DRIVE,NO,,
DENTEC AVIONICS MRO (PTY) LTD,PRETORIA,"WONDERBOOM AIRPORT, LINTVELD ROAD",NO,,
DENTON AVIATION CONSULTING INC,TULSA,"JONES RIVERSIDE AIRPORT, HGR 10",NO,,
DENVER HOT AIR REPAIR,SAN LUIS,24201 M-5 RD,NO,,
DEPOT AVIONICS INC,ALAMOSA,2550 STATE AVENUE,YES,,
DERCO AEROSPACE INC,MILWAUKEE,8065 WEST FAIRLANE AVENUE,NO,,
DESARROLLO DE TECNOLOGIAS Y SISTEMAS SPA,SANTIAGO,RODRIGO DE ARAYA 1263,NO,,
DESERT JET MAINTENANCE LLC,THERMAL,56600 INVADER,NO,,
DEUTSCHE AIRCRAFT GMBH,WESSLING,JUNKERSSTRASSE 2,NO,,
DEVOS BORESCOPE BLENDING LLC,CHICOPEE,WESTOVER METROPOLITAN AIRPORT,NO,,
DFC INC,DOTHAN,2814 HORACE SHEPARD DRIVE,NO,,
DFC INC (DBA) ADVANCED HELICOPTER SERVICES,WOODLAND,17986 COUNTY ROAD 94B,NO,,
DFW TURBINE SERVICE INC,GRAPEVINE,"1085 TEXAN TRAIL, SUITE 400",NO,,
DHL DE GUATEMALA SA,GUATEMALA CITY,"DHL DE GUATEMALA, S.A.",NO,,
DHL TECHNICAL SERVICES POWERED BY KALITTA LLC,ERLANGER,1330 COX AVE,NO,,
DIAMOND AEROSPACE LLC,SAN ANTONIO,2050 STEVES,NO,,
DIATOM AVIATION LLC,HEBRON,2830 EARHART CT,NO,,
DIEHL AEROSPACE GMBH,UEBERLINGEN,ALTE NUSSDORFER STRASSE 23,NO,,
DIEHL AEROSPACE INC,STERRETT,"DIEHL AEROSPACE, INC.",NO,,
DIEHL AVIATION GILCHING GMBH,GILCHING,FRIEDRICHSHAFENER STRASSE 5,NO,,
DIGEX AIRCRAFT MAINTENANCE LTDA,SÃO JOSE DOS CAMPOS,AV BRIGADEIRO FARIA LIMA S/N,NO,,
DIRECCION DE INDUSTRIA AERONAUTICA FAE,LATACUNGA,"AEROPUERTO INTERNACIONAL ""COTOPAXI""",NO,,
DIRECT AERO SERVICES LIMITED,SWORDS,UNIT 2 HOLYWELL COMMERCIAL CENTRE,NO,,
DIRECT AVIONICS,NOVATO,451 AIRPORT ROAD,NO,,
DIRECT MAINTENANCE BV,OUDE MEER,FOKKERWEG 195,NO,,
DIRECT MX AVIATION LLC,ENGLEWOOD,"8551 AVIATOR LN, STE D.",NO,,
DIVCO INC,TULSA,"DIVCO, INC.",NO,,
DIVERSE AIRCRAFT SERVICES CORP,MIAMI,5051 NW 37TH AVENUE,NO,,
DIVERSIFIED AERO REPAIR LLC,MIAMI,8880 NW 15 ST,NO,,
DIX AVIATION,SOUTH BOSTON,1145 TUCK AIRPORT RD.,NO,,
DIXIE AIR PARTS INC,CORAL SPRINGS,4350 NW 124 AVENUE,NO,,
DIXIE JET AND ROTOR SERVICE LLC,LAKELAND,3770 AIRFIELD DRIVE WEST,NO,,
DIXON HARD CHROME INC,SUN VALLEY,11645 PENDLETON STREET,NO,,
DK TURBINES LLC,HOLLISTER,210 SKYLANE DRIVE,NO,,
DM3D TECHNOLOGY LLC,AUBURN HILLS,2350 PONTIAC ROAD,NO,,
DMFS ACQUISITION LLC,DES MOINES,6307 SW 28TH STREET,NO,,
DNT AVIONICS,GRAND JUNCTION,2845 AVIATORS WAY,YES,,
DODSON AVIATION INC,OTTAWA,2110 MONTANA ROAD,NO,,
DOMINION AVIATION SERVICES LLC,RICHMOND,CHESTERFIELD COUNTY AIRPORT,NO,,
DOMINION PROPELLER CORPORATION,ANCHORAGE,"1131 EAST 76TH AVE., SUITE 400",NO,,
DON WADE DBA WESTERN AVIATION,UPLAND,1749 W. 13TH STREET,NO,,
DONALDSON COMPANY INC,VALENCIA,26235 TECHNOLOGY DRIVE,NO,,
DONICA RS INC,DORAL,2775 N.W. 82 AVENUE,NO,,
DOORWAY PROJECTS INC,MELBOURNE,1443 GENERAL AVIATION DRIVE,NO,,
DORNIER TECHNOLOGY INC,PAMPANGA,HANGAR 7224 CLARK CIVIL AVIATION CO,NO,,
DOUGLAS J HAALA,PROCTOR,210 12TH STREET,NO,,
DOW AERO LLC,OKLAHOMA CITY,6800 CAMILLE AVENUE,NO,,
DOW CHEMICAL,FREELAND,8400 GARFIELD RD,NO,,
DOWNEY CORPORATION,EAST MIDDLEBURY,MIDDLEBURY STATE AIRPORT,NO,,
DPI LABS INC,LA VERNE,1350 ARROW HIGHWAY,NO,,
DRAYTON AEROSPACE (XIAMEN) LANDING SYSTEMS LTD,XIAMEN,NO. 2-3 GAO QI SOUTH 7TH ROAD,NO,,
DRETLOH AIRCRAFT SUPPLY INC,ANAHEIM,2830 E. LA CRESTA AVENUE,NO,,
DRJ TECHNOLOGIES,CORONA,257 HELICOPTER CIRCLE,NO,,
DRS ADVANCED ISR LLC,FORT WALTON BEACH,651 ANCHORS STREET,NO,,
DTX AE BRASIL SA,PORTO ALEGRE,"RUA AUGUSTO SEVERO, 851 - PREDIOS 3",NO,,
DTX LS BRASIL SA,RIO DE JANEIRO,"AV. VINTE DE JANEIRO, S/N - PREDIO",NO,,
DUBLIN AEROSPACE LIMITED,DUBLIN,HANGAR 5,NO,,
DUBOIS COUNTY FLIGHT SERVICES INC,HUNTINGBURG,2675 WEST 900 SOUTH.,NO,,
DUCOMMUN LABARGE TECHNOLOGIES INC,CARSON,23301 WILMINGTON AVENUE,NO,,
,JOPLIN,1505 MAIDEN LANE,NO,,
DUCOMMUN LABARGE TECHNOLOGIES Inc,APPLETON,2222 EAST PENSAR DRIVE,NO,,
DUNCAN AVIATION INC,LINCOLN,3701 AVIATION ROAD,YES,,
DUNLOP AIRCRAFT TYRES (JINJIANG) COMPANY LIMITED,JINJIANG,NO. 2 TAIKOO ROAD,NO,,
DUNLOP AIRCRAFT TYRES INC,MOCKSVILLE,205 ENTERPRISE WAY,NO,,
DUNLOP AIRCRAFT TYRES LTD,BIRMINGHAM,40 FORT PARKWAY,NO,,
DUNLOP NDT LLC,BUFORD,4465 COMMERCE DR.,NO,,
DUNNING AVIATION,HONOLULU,96 NAKOLO PLACE,NO,,
DUPAGE AEROSPACE CORPORATION,WEST CHICAGO,2755 INTERNATIONAL DRIVE,NO,,
DURACOATINGS HOLDINGS LLC,OKLAHOMA CITY,13920 S. MERIDIAN AVE,NO,,
DV AVIATION INC,BRAINERD,16278 AIRPORT ROAD,NO,,
DYERSBURG AVIONICS Inc OF CARUTHERSVILLE,CARUTHERSVILLE,2204 AIRPORT DR.,YES,,
DYNA-EMPIRE INC,GARDEN CITY,1075 STEWART AVENUE,NO,,
DYNAMIC AIR ENGINEERING INC,CLAREMONT,2421 BGA DRIVE,NO,,
DYNAMIC AVIATION GROUP INC,BRIDGEWATER,1402 AIRPORT ROAD,NO,,
DYNAMIC NON DESTRUCTIVE TESTING INC,JACKSONVILLE,6900 PHILLIPS,NO,,
DYNAMO AVIATION INC,CHATSWORTH,9601 MASON AVENUE,NO,,
,CHATSWORTH,9601 MASON AVENUE,NO,,
DYNASTY AEROTECH INTERNATIONAL CORP,TAOYUAN CITY,"NO. 5-1, HANGQIN S. RD.,",NO,,
E D N AVIATION INC,VAN NUYS,6720 VALJEAN AVE.,NO,,
E T BALANCING INC,LOS ANGELES,12823  ATHENS  WAY,NO,,
E T MECHANICAL LLC,BETHANY,5604 PHILIP J. RHOADS AVE.,NO,,
E I S AIRCRAFT GMBH,MUNICH,EIS AIRCRAFT GMBH,NO,,
EMC AEROSPACE INC,NORTH MIAMI BEACH,570 NE 185 ST,NO,,
EUA AIR SUPPORT INC,MCKINNEY,1505 MERCURY CIRCLE,NO,,
E&E AVIATION,CHANDLER,1725 E. RYAN RD.,NO,,
EA SERVICES,L'ISLE JOURDAIN,BUCONIS,NO,,
EAGLE AVIATION COLUMBIA LLC,WEST COLUMBIA,2861 AVIATION WAY,NO,,
EAGLE AVIATION SERVICES INC,ABILENE,2751 AIRPORT BOULEVARD,NO,,
EAGLE AVIATION TECHNOLOGIES LLC,NEWPORT NEWS,7505 WARWICK BLVD,NO,,
EAGLE CREEK AVIATION SERVICES LLC,INDIANAPOLIS,4101 DANDY TRAIL,NO,,
EAGLE ENTERPRISES INC,ANCHORAGE,4305 OLD INTERNATIONAL AIRPORT ROAD,NO,,
EAGLE FUEL CELLS-ETC INC,EAGLE RIVER,617 SKYLANE TAXIWAY,NO,,
EAGLE SERVICES ASIA PTE LTD,SINGAPORE,51 CALSHOT ROAD,NO,,
EARP AVIATION REPAIRS LLC,CHANDLER,380 EAST CHILTON DR.,NO,,
EARTH POLE LIMITED,FELTHAM,"HEATHROW LOGISTICS PARK, UNIT 2",NO,,
EAST COAST AERO CLUB,BEDFORD,BUILDING 1724,NO,,
EAST COAST AVIATION SERVICE INC,STUART,2367 SE LIBERATOR LANE,NO,,
EAST COAST PROPELLER SERVICE INC,LITITZ,2079 MAIN STREET,NO,,
EAST WEST AVIONICS LLC,HONOLULU,112 NAKOLO PL,NO,,
EAST WEST HELICOPTER,BATESVILLE,25222 ENOCHSBURG ROAD,NO,,
EAST/WEST INDUSTRIES INC,RONKONKOMA,2002 ORVILLE DRIVE NORTH,NO,,
EASTERN AERO MARINE INC,MIAMI,5502 NW 37TH AVENUE,NO,,
EASTERN AIRINES TECHNIC CO LTD NORTHWEST BRANCH,XI'AN,XIANYANG INTERNATIONAL AIRPORT,NO,,
EASTERN AIRLINES TECHNIC CO LTD,SHANGHAI,NO. 128 FEIAO ROAD,NO,,
EASTERN CINCINNATI AVIATION INC,BATAVIA,CLERMONT COUNTY AIRPORT,NO,,
EASTERN SAILPLANE INC,WAYNESVILLE,398 MIAMI STREET,NO,,
EATON AEROSPACE CONTROLS DIVISION,BETHEL,15 DURANT AVENUE,NO,,
EATON AEROSPACE GLENOLDEN,GLENOLDEN,24 E. GLENOLDEN AVE.,NO,,
EATON AEROSPACE STERER ENGINEERING,LOS ANGELES,4690 COLORADO BOULEVARD,NO,,
EATON AEROSPACE LLC,GRAND RAPIDS,3675 PATTERSON AVENUE SE,NO,,
EATON AEROSPACE LLC,JACKSON,5353 HIGHLAND DRIVE,NO,,
EATON CORPORATION,CLEVELAND,23555 EUCLID AVENUE,NO,,
,IRVINE,9650 JERONIMO ROAD,NO,,
,EAST PROVIDENCE,10 NEW ROAD,NO,,
,BELTSVILLE,11642 OLD BALTIMORE PIKE,NO,,
EATON CORPORATION CONVEYANCE SYSTEM DIVISION,JACKSON,300 SOUTH EAST AVE,NO,,
EATON LIMITED,FAREHAM,"ABBEY PARK, SOUTHAMPTON ROAD, TITCH",NO,,
,HAVANT,LARCHWOOD AVENUE,NO,,
EATON SAMC (SHANGHAI) AIRCRAFT CONVEYANCE SYSTEM M,SHANGHAI,NO. 71 JINLIANG ROAD,NO,,
EATON SAS,COIGNIERES,2 RUE LAVOISIER,NO,,
EATON THERMAL PRODUCTS LLC,TULSA,421 W. 90TH STREET SOUTH,NO,,
EB AIRFOILS LLC,"PALM CITY,",3591 SW DEGGELLER COURT,NO,,
ECHELON INDUSTRIES CORPORATION,WESTFIELD,53 AIRPORT ROAD,NO,,
ECLIPSE AEROSPACE INC,ALBUQUERQUE,3520 SPIRIT DRIVE SE,NO,,
,SUGAR GROVE,43W514 US ROUTE 30,NO,,
ECOLIFT CORPORATION,SAN JUAN,ISLA GRANDE  AIRPORT,NO,,
ECON PROPELLER LTD,SOUTHEND ON SEA,"50, TAILORS COURT, TEMPLE FARM INDU",NO,,
ECONOSTRIP INC,ATLANTA,3725 ZIP INDUSTRIAL BLVD,NO,,
ECOSERVICES LLC,SANTA FE SPRINGS,10440 PIONEER BLVD UNIT 7,NO,,
,HAINESPORT,712 PARK AVE,NO,,
,ORLANDO,8684 BEAR ROAD,NO,,
,SAN LEANDRO,14295 WICKS BLVD,NO,,
,TEMPE,841 W. FAIRMONT DR.,NO,,
,IRVING,"1725 HURD DRIVE, SUITE 108",NO,,
ECUBE SOLUTIONS LLC,COOLIDGE,3555 S HANGAR DR.,NO,,
ED'S FLYING SERVICE INC,ALAMOGORDO,3500 AIRPORT RD.,NO,,
EDDIE HADIDI,OCEANSIDE,304 VIA DEL NORTE,NO,,
EDGE AVIATION LLC,COMMERERCE,"7255 HWY 50, HANGER 7",NO,,YES
EDMONDS AVIATION LLC,JONESBORO,3001 EARHART DR.,YES,,
EGYPTAIR MAINTENENACE AND ENGINEERING,CAIRO,CAIRO INTERNATIONAL AIRPORT,NO,,
EIIF MANAGEMENT USA INC,JACKSONVILLE,8493 BAYMEADOWS WAY,NO,,
EL AERO SERVICES LLC,CARSON CITY,2101 ARROWHEAD DRIVE,NO,,
,ELKO,815 MURRAY WAY,NO,,
EL AL ISRAEL AIRLINES LTD,LOD,BEN GURION INTERNATIONAL AIRPORT,NO,,
EL PASO AEROINC / AVIONICS ASSOCIATES,EL PASO,7305 BOEING DRIVE,NO,,
ELBE FLUGZEUGWERKE GMBH,DRESDEN,GRENZSTRASSE 1,NO,,
ELBIT SYSTEMS AEROSPACE,KARMIEL,ELBIT SYSTEMS AEROSPACE,NO,,
ELBIT SYSTEMS ELECTRO-OPTICS-ELOP LTD,REHOVOT,5 HAMADA STREET,NO,,
ELBITAMERICA INC,TALLADEGA,108 ALLEN STREET,NO,,
,MERRIMACK,220 DANIEL WEBSTER HIGHWAY,NO,,
ELDEC AEROSPACE CORPORATION,LYNNWOOD,16700 13TH AVENUE WEST,NO,,
ELDEC FRANCE,SAINT PRIEST,10 RUE DE LOMBARDIE,NO,,
